"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04975","Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption - Mus musculus (house mouse)","3/408","43/9574",0.0697674418604651,1.63714090287278,0.883414786535071,0.276919103388774,0.940236955692118,0.810081587636684,"11808/18946/18947",3
"mmu03250","Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","4/408","63/9574",0.0634920634920635,1.48988484282602,0.82302944109809,0.280721008458904,0.942190051379308,0.811764319681524,"209387/69550/17857/17858",4
"mmu05224","Human Diseases","Cancer: specific types","mmu05224","Breast cancer - Mus musculus (house mouse)","8/408","147/9574",0.054421768707483,1.27704415099373,0.714142836310558,0.28994225049937,0.962081103929727,0.828901888389347,"22420/23797/22417/93897/14174/80857/14165/21943",8
"mmu04072","Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","8/408","149/9574",0.0536912751677852,1.25990261876563,0.674570422120226,0.302508958684772,0.971118920868769,0.836688616033294,"14125/23797/14061/271844/54635/432530/68262/14126",8
"mmu00790","Metabolism","Metabolism of cofactors and vitamins","mmu00790","Folate biosynthesis - Mus musculus (house mouse)","2/408","26/9574",0.0769230769230769,1.80505279034691,0.867199488417911,0.304749750473085,0.971118920868769,0.836688616033294,"11648/21990",2
"mmu04014","Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway - Mus musculus (house mouse)","12/408","236/9574",0.0508474576271186,1.1931704885344,0.6339193804269,0.305914515388704,0.971118920868769,0.836688616033294,"23797/271844/54635/19415/14255/16797/14174/80857/18053/14165/320484/15566",12
"mmu04630","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","9/408","171/9574",0.0526315789473684,1.23503611971104,0.654279977816393,0.305968975068242,0.971118920868769,0.836688616033294,"20849/71872/23797/16184/60504/237310/16160/16185/16186",9
"mmu05146","Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","6/408","108/9574",0.0555555555555556,1.30364923747277,0.669522238799012,0.312683896738081,0.97536697783711,0.840348621856775,"432530/16160/18126/12475/14680/94216",6
"mmu04750","Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","7/408","130/9574",0.0538461538461538,1.26353695324284,0.638262592990559,0.318080665311248,0.97536697783711,0.840348621856775,"18761/271844/15465/432530/246788/72082/433247",7
"mmu04950","Human Diseases","Endocrine and metabolic disease","mmu04950","Maturity onset diabetes of the young - Mus musculus (house mouse)","2/408","27/9574",0.0740740740740741,1.73819898329702,0.810375025097796,0.320668595453297,0.97536697783711,0.840348621856775,"18506/11925",2
"mmu04966","Organismal Systems","Excretory system","mmu04966","Collecting duct acid secretion - Mus musculus (house mouse)","2/408","27/9574",0.0740740740740741,1.73819898329702,0.810375025097796,0.320668595453297,0.97536697783711,0.840348621856775,"11944/20533",2
"mmu00590","Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","5/408","89/9574",0.0561797752808989,1.31829698171403,0.636462822833292,0.329599842475501,0.982711356142665,0.846676330634812,"19215/64292/271844/72082/433247",5
"mmu04310","Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)","9/408","175/9574",0.0514285714285714,1.20680672268908,0.582514897118911,0.329814085280757,0.982711356142665,0.846676330634812,"20671/22420/22417/93897/93960/24117/407821/77583/494504",9
"mmu04727","Organismal Systems","Nervous system","mmu04727","GABAergic synapse - Mus musculus (house mouse)","5/408","90/9574",0.0555555555555556,1.30364923747277,0.610607116308725,0.338106248796009,0.997242673216512,0.859196102735207,"14397/14400/14412/432530/216643",5
"mmu03260","Genetic Information Processing","Information processing in viruses","mmu03260","Virion - Human immunodeficiency virus - Mus musculus (house mouse)","1/408","10/9574",0.1,2.34656862745098,0.898820342120413,0.353194992011259,0.999672447698676,0.861289527757691,"170786",1
"mmu05032","Human Diseases","Substance dependence","mmu05032","Morphine addiction - Mus musculus (house mouse)","5/408","92/9574",0.0543478260869565,1.27530903665814,0.559794451418049,0.355166819418163,0.999672447698676,0.861289527757691,"14397/14400/432530/216643/23984",5
"mmu04657","Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","5/408","93/9574",0.0537634408602151,1.26159603626397,0.534822592355906,0.363712325155729,0.999672447698676,0.861289527757691,"14282/20295/17392/20306/225724",5
"mmu05222","Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer - Mus musculus (house mouse)","5/408","94/9574",0.0531914893617021,1.24817480183563,0.510130894994817,0.37226233754119,0.999672447698676,0.861289527757691,"23797/22029/18126/218772/94216",5
"mmu04622","Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","4/408","73/9574",0.0547945205479452,1.28579102874026,0.517117871657334,0.378174123611701,0.999672447698676,0.861289527757691,"100038882/54123/16160/80861",4
"mmu04371","Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","7/408","139/9574",0.0503597122302158,1.18172520806884,0.455319035489007,0.380976469931245,0.999672447698676,0.861289527757691,"23797/20750/18791/100038489/432530/18126/12326",7
"mmu05034","Human Diseases","Substance dependence","mmu05034","Alcoholism - Mus musculus (house mouse)","10/408","207/9574",0.0483091787439614,1.13360803258501,0.409997931926258,0.388203161032036,0.999672447698676,0.861289527757691,"109648/320332/14282/404634/319152/319153/665433/100041230/326619/12326",10
"mmu04613","Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","10/408","209/9574",0.0478468899521531,1.12276010882822,0.378565211352345,0.399790835486152,0.999672447698676,0.861289527757691,"23797/73333/320332/404634/319152/319153/665433/100041230/326619/14293",10
"mmu04650","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","6/408","120/9574",0.05,1.17328431372549,0.403001125737329,0.4044984878442,0.999672447698676,0.861289527757691,"12503/16643/27007/16797/14972/20400",6
"mmu00330","Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism - Mus musculus (house mouse)","3/408","54/9574",0.0555555555555556,1.30364923747277,0.472079112451354,0.406206574376802,0.999672447698676,0.861289527757691,"75986/18126/209027",3
"mmu05231","Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer - Mus musculus (house mouse)","5/408","98/9574",0.0510204081632653,1.19722889155662,0.414033260173488,0.406426263560257,0.999672447698676,0.861289527757691,"23797/271844/54635/242259/20519",5
"mmu04810","Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)","11/408","234/9574",0.047008547008547,1.10308781632311,0.336826316049393,0.413242869698848,0.999672447698676,0.861289527757691,"226970/23797/14061/54635/16411/14174/80857/76884/20259/14165/16421",11
"mmu00591","Metabolism","Lipid metabolism","mmu00591","Linoleic acid metabolism - Mus musculus (house mouse)","3/408","55/9574",0.0545454545454545,1.27994652406417,0.43926332573298,0.417745878826556,0.999672447698676,0.861289527757691,"271844/72082/433247",3
"mmu01210","Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)","2/408","34/9574",0.0588235294117647,1.38033448673587,0.468700225490685,0.428505660120141,0.999672447698676,0.861289527757691,"209692/239017",2
"mmu04015","Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)","10/408","214/9574",0.0467289719626168,1.09652739600513,0.301289320086456,0.428797740697661,0.999672447698676,0.861289527757691,"23797/54635/16797/14174/80857/432530/18053/78473/14165/14293",10
"mmu00240","Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism - Mus musculus (house mouse)","3/408","56/9574",0.0535714285714286,1.25709033613445,0.407071877184507,0.429211145198535,0.999672447698676,0.861289527757691,"22271/22169/67464",3
"mmu03264","Genetic Information Processing","Information processing in viruses","mmu03264","Virion - Flavivirus and Alphavirus - Mus musculus (house mouse)","1/408","13/9574",0.0769230769230769,1.80505279034691,0.612785614224048,0.432499887456613,0.999672447698676,0.861289527757691,"170786",1
"mmu01230","Metabolism","Global and overview maps","mmu01230","Biosynthesis of amino acids - Mus musculus (house mouse)","4/408","79/9574",0.0506329113924051,1.18813601389923,0.354243739612369,0.43637083942579,0.999672447698676,0.861289527757691,"227231/230163/209027/11720",4
"mmu05417","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","10/408","217/9574",0.0460829493087558,1.0813680310834,0.255787633510216,0.446178029343298,0.999672447698676,0.861289527757691,"20339/23797/54123/17392/11808/16160/20304/15511/193740/12475",10
"mmu04611","Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","6/408","126/9574",0.0476190476190476,1.11741363211951,0.279896867284558,0.450363853291259,0.999672447698676,0.861289527757691,"23797/14061/271844/54368/432530/12229",6
"mmu04370","Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway - Mus musculus (house mouse)","3/408","58/9574",0.0517241379310345,1.21374239350913,0.344462249178332,0.451890999625264,0.999672447698676,0.861289527757691,"23797/271844/27371",3
"mmu01524","Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","4/408","81/9574",0.0493827160493827,1.15879932219801,0.302798415301016,0.455456795188834,0.999672447698676,0.861289527757691,"23797/12578/100042295/12780",4
"mmu00533","Metabolism","Glycan biosynthesis and metabolism","mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate - Mus musculus (house mouse)","1/408","14/9574",0.0714285714285714,1.67612044817927,0.534100921072844,0.456717024358371,0.999672447698676,0.861289527757691,"227327",1
"mmu00670","Metabolism","Metabolism of cofactors and vitamins","mmu00670","One carbon pool by folate - Mus musculus (house mouse)","2/408","37/9574",0.0540540540540541,1.26841547429783,0.345117279890445,0.471967601450616,0.999672447698676,0.861289527757691,"434437/11720",2
"mmu00730","Metabolism","Metabolism of cofactors and vitamins","mmu00730","Thiamine metabolism - Mus musculus (house mouse)","1/408","15/9574",0.0666666666666667,1.56437908496732,0.461502963716103,0.479903159720482,0.999672447698676,0.861289527757691,"11648",1
"mmu04151","Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","16/408","367/9574",0.0435967302452316,1.02302719452904,0.0949028325429932,0.49977804756379,0.999672447698676,0.861289527757691,"329278/23797/16184/54635/20750/14255/12478/14174/80857/665033/18053/14165/16185/16421/16186/94216",16
"mmu00250","Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","2/408","39/9574",0.0512820512820513,1.20336852689794,0.268484910419572,0.499816752829731,0.999672447698676,0.861289527757691,"227231/11484",2
"mmu00561","Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism - Mus musculus (house mouse)","3/408","63/9574",0.0476190476190476,1.11741363211951,0.197260391775257,0.506839252074289,0.999672447698676,0.861289527757691,"68262/18946/18947",3
"mmu04929","Organismal Systems","Endocrine system","mmu04929","GnRH secretion - Mus musculus (house mouse)","3/408","63/9574",0.0476190476190476,1.11741363211951,0.197260391775257,0.506839252074289,0.999672447698676,0.861289527757691,"23797/20750/58226",3
"mmu00260","Metabolism","Amino acid metabolism","mmu00260","Glycine, serine and threonine metabolism - Mus musculus (house mouse)","2/408","40/9574",0.05,1.17328431372549,0.231694570720339,0.513384048794958,0.999672447698676,0.861289527757691,"434437/11656",2
"mmu00350","Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism - Mus musculus (house mouse)","2/408","40/9574",0.05,1.17328431372549,0.231694570720339,0.513384048794958,0.999672447698676,0.861289527757691,"71872/11522",2
"mmu04913","Organismal Systems","Endocrine system","mmu04913","Ovarian steroidogenesis - Mus musculus (house mouse)","3/408","64/9574",0.046875,1.09995404411765,0.169263876664387,0.517486282310349,0.999672447698676,0.861289527757691,"271844/432530/13078",3
"mmu04625","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","5/408","112/9574",0.0446428571428571,1.04757528011204,0.106847183352693,0.522686746833808,0.999672447698676,0.861289527757691,"23797/170786/20299/20295/16160",5
"mmu00541","Metabolism","Glycan biosynthesis and metabolism","mmu00541","Biosynthesis of various nucleotide sugars - Mus musculus (house mouse)","1/408","17/9574",0.0588235294117647,1.38033448673587,0.331126210509957,0.5233557294955,0.999672447698676,0.861289527757691,"74091",1
"mmu00603","Metabolism","Glycan biosynthesis and metabolism","mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (house mouse)","1/408","17/9574",0.0588235294117647,1.38033448673587,0.331126210509957,0.5233557294955,0.999672447698676,0.861289527757691,"80908",1
"mmu04380","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","6/408","136/9574",0.0441176470588235,1.0352508650519,0.0873501049704975,0.52476068469591,0.999672447698676,0.861289527757691,"23797/751864/14282/21943/12326/12229",6
"mmu05135","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","6/408","136/9574",0.0441176470588235,1.0352508650519,0.0873501049704975,0.52476068469591,0.999672447698676,0.861289527757691,"23797/330319/12526/12525/16797/54483",6
"mmu05219","Human Diseases","Cancer: specific types","mmu05219","Bladder cancer - Mus musculus (house mouse)","2/408","41/9574",0.0487804878048781,1.14466762314682,0.195845078578256,0.52670665426855,0.999672447698676,0.861289527757691,"12578/22270",2
"mmu05204","Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)","4/408","90/9574",0.0444444444444444,1.04291938997821,0.0863064408343094,0.538204131068872,0.999672447698676,0.861289527757691,"100042295/13078/72082/433247",4
"mmu00120","Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis - Mus musculus (house mouse)","1/408","18/9574",0.0555555555555556,1.30364923747277,0.272041124532574,0.543704255431028,0.999672447698676,0.861289527757691,"13123",1
"mmu00010","Metabolism","Carbohydrate metabolism","mmu00010","Glycolysis / Gluconeogenesis - Mus musculus (house mouse)","3/408","67/9574",0.0447761194029851,1.05070237050044,0.0878634199332325,0.548665129316134,0.999672447698676,0.861289527757691,"11522/230163/14447",3
"mmu00760","Metabolism","Metabolism of cofactors and vitamins","mmu00760","Nicotinate and nicotinamide metabolism - Mus musculus (house mouse)","2/408","43/9574",0.0465116279069767,1.09142726858185,0.126766623510669,0.552603263962,0.999672447698676,0.861289527757691,"71872/11872",2
"mmu04936","Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","6/408","141/9574",0.0425531914893617,0.998539841468502,-0.00368509623653036,0.560436382896178,0.999672447698676,0.861289527757691,"23797/11522/16160/12268/12263/12475",6
"mmu05171","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","14/408","334/9574",0.0419161676646707,0.983591640248914,-0.0643971432199346,0.565147913588484,0.999672447698676,0.861289527757691,"14061/100038882/246728/246727/23961/23960/246730/50909/17392/16160/17857/17858/12268/12263",14
"mmu00620","Metabolism","Carbohydrate metabolism","mmu00620","Pyruvate metabolism - Mus musculus (house mouse)","2/408","44/9574",0.0454545454545455,1.06662210338681,0.0934463650567502,0.565171864494752,0.999672447698676,0.861289527757691,"11522/109264",2
"mmu04666","Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)","4/408","94/9574",0.0425531914893617,0.998539841468502,-0.00300140051688501,0.572900276698109,0.999672447698676,0.861289527757691,"23797/271844/16797/20259",4
"mmu00982","Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450 - Mus musculus (house mouse)","3/408","72/9574",0.0416666666666667,0.977736928104575,-0.0400044227917155,0.597902226188387,0.999672447698676,0.861289527757691,"71872/11522/100042295",3
"mmu04920","Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway - Mus musculus (house mouse)","3/408","72/9574",0.0416666666666667,0.977736928104575,-0.0400044227917155,0.597902226188387,0.999672447698676,0.861289527757691,"23797/18761/109648",3
"mmu05223","Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","3/408","72/9574",0.0416666666666667,0.977736928104575,-0.0400044227917155,0.597902226188387,0.999672447698676,0.861289527757691,"23797/12578/218772",3
"mmu01200","Metabolism","Global and overview maps","mmu01200","Carbon metabolism - Mus musculus (house mouse)","5/408","122/9574",0.040983606557377,0.961708453873353,-0.0898018215310727,0.599390783069816,0.999672447698676,0.861289527757691,"227231/230163/109264/434437/239017",5
"mmu03273",NA,NA,"mmu03273","Virion - Lassa virus and SFTS virus - Mus musculus (house mouse)","1/408","21/9574",0.0476190476190476,1.11741363211951,0.113637708062918,0.599695583910753,0.999672447698676,0.861289527757691,"170786",1
"mmu03050","Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome - Mus musculus (house mouse)","2/408","47/9574",0.0425531914893617,0.998539841468502,-0.00211706913818443,0.601340203031733,0.999672447698676,0.861289527757691,"16912/16913",2
"mmu04917","Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway - Mus musculus (house mouse)","3/408","74/9574",0.0405405405405405,0.95131160572337,-0.0887040999665989,0.616588605520203,0.999672447698676,0.861289527757691,"23797/13711/21943",3
"mmu04964","Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation - Mus musculus (house mouse)","1/408","22/9574",0.0454545454545455,1.06662210338681,0.0660004213550837,0.616792223894466,0.999672447698676,0.861289527757691,"12351",1
"mmu04916","Organismal Systems","Endocrine system","mmu04916","Melanogenesis - Mus musculus (house mouse)","4/408","100/9574",0.04,0.938627450980392,-0.130158236512115,0.62208399430474,0.999672447698676,0.861289527757691,"22420/22417/93897/432530",4
"mmu05214","Human Diseases","Cancer: specific types","mmu05214","Glioma - Mus musculus (house mouse)","3/408","75/9574",0.04,0.938627450980392,-0.112571909755774,0.625709402451843,0.999672447698676,0.861289527757691,"23797/12578/12326",3
"mmu04010","Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","12/408","299/9574",0.040133779264214,0.941766673224474,-0.215831297182486,0.627065804391733,0.999672447698676,0.861289527757691,"23797/271844/54635/14255/14174/80857/18053/14165/58226/15511/193740/12475",12
"mmu00980","Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)","3/408","76/9574",0.0394736842105263,0.926277089783282,-0.1361311046792,0.634680555215184,0.999672447698676,0.861289527757691,"11522/100042295/13078",3
"mmu04924","Organismal Systems","Endocrine system","mmu04924","Renin secretion - Mus musculus (house mouse)","3/408","76/9574",0.0394736842105263,0.926277089783282,-0.1361311046792,0.634680555215184,0.999672447698676,0.861289527757691,"80797/229927/23844",3
"mmu04979","Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism - Mus musculus (house mouse)","2/408","50/9574",0.04,0.938627450980392,-0.0917938646817906,0.635196056063727,0.999672447698676,0.861289527757691,"11808/12684",2
"mmu05207","Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","9/408","228/9574",0.0394736842105263,0.926277089783282,-0.237695626186246,0.641251657705693,0.999672447698676,0.861289527757691,"23797/14174/80857/100042295/432530/14165/21943/22337/13078",9
"mmu05414","Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","4/408","103/9574",0.0388349514563107,0.911288787359604,-0.190969228893149,0.645296686260281,0.999672447698676,0.861289527757691,"432530/20649/16421/13527",4
"mmu00534","Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse)","1/408","24/9574",0.0416666666666667,0.977736928104575,-0.0230384474274647,0.648831064144028,0.999672447698676,0.861289527757691,"15476",1
"mmu04926","Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway - Mus musculus (house mouse)","5/408","130/9574",0.0384615384615385,0.902526395173454,-0.236072228198683,0.655466347765837,0.999672447698676,0.861289527757691,"23797/23919/432530/18126/94216",5
"mmu04820","Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","9/408","232/9574",0.0387931034482759,0.910306795131846,-0.291774805199839,0.661688981170871,0.999672447698676,0.861289527757691,"17996/21916/50876/665033/109272/20649/16421/13527/94216",9
"mmu00592","Metabolism","Lipid metabolism","mmu00592","alpha-Linolenic acid metabolism - Mus musculus (house mouse)","1/408","25/9574",0.04,0.938627450980392,-0.0648230414060577,0.663833883602587,0.999672447698676,0.861289527757691,"271844",1
"mmu00340","Metabolism","Amino acid metabolism","mmu00340","Histidine metabolism - Mus musculus (house mouse)","1/408","26/9574",0.0384615384615385,0.902526395173454,-0.104998158199546,0.678197248927767,0.999672447698676,0.861289527757691,"11484",1
"mmu04978","Organismal Systems","Digestive system","mmu04978","Mineral absorption - Mus musculus (house mouse)","2/408","55/9574",0.0363636363636364,0.853297682709447,-0.230190205080065,0.686558367976472,0.999672447698676,0.861289527757691,"73649/22337",2
"mmu00650","Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism - Mus musculus (house mouse)","1/408","27/9574",0.037037037037037,0.869099491648511,-0.143699063722457,0.691948350984478,0.999672447698676,0.861289527757691,"20216",1
"mmu04392","Environmental Information Processing","Signal transduction","mmu04392","Hippo signaling pathway - multiple species - Mus musculus (house mouse)","1/408","27/9574",0.037037037037037,0.869099491648511,-0.143699063722457,0.691948350984478,0.999672447698676,0.861289527757691,"100534287",1
"mmu04934","Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome - Mus musculus (house mouse)","6/408","162/9574",0.037037037037037,0.869099491648511,-0.354504755748535,0.694389470727005,0.999672447698676,0.861289527757691,"22420/12578/22417/93897/432530/58226",6
"mmu01232","Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism - Mus musculus (house mouse)","3/408","84/9574",0.0357142857142857,0.838060224089636,-0.314502611019728,0.701010975585735,0.999672447698676,0.861289527757691,"22271/22169/67464",3
"mmu04340","Environmental Information Processing","Signal transduction","mmu04340","Hedgehog signaling pathway - Mus musculus (house mouse)","2/408","58/9574",0.0344827586206897,0.809161595672752,-0.30755071516199,0.714433655157861,0.999672447698676,0.861289527757691,"19207/20423",2
"mmu04540","Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction - Mus musculus (house mouse)","3/408","86/9574",0.0348837209302326,0.818570451436389,-0.356561207733851,0.716086227207359,0.999672447698676,0.861289527757691,"54635/432530/22153",3
"mmu04911","Organismal Systems","Endocrine system","mmu04911","Insulin secretion - Mus musculus (house mouse)","3/408","86/9574",0.0348837209302326,0.818570451436389,-0.356561207733851,0.716086227207359,0.999672447698676,0.861289527757691,"14526/432530/116838",3
"mmu05412","Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse)","3/408","86/9574",0.0348837209302326,0.818570451436389,-0.356561207733851,0.716086227207359,0.999672447698676,0.861289527757691,"20649/16421/13527",3
"mmu00062","Metabolism","Lipid metabolism","mmu00062","Fatty acid elongation - Mus musculus (house mouse)","1/408","29/9574",0.0344827586206897,0.809161595672752,-0.217140580101454,0.717716810155124,0.999672447698676,0.861289527757691,"66775",1
"mmu03320","Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)","3/408","89/9574",0.0337078651685393,0.79097818902842,-0.417957503487168,0.73758835834323,0.999672447698676,0.861289527757691,"109264/66113/16204",3
"mmu00053","Metabolism","Carbohydrate metabolism","mmu00053","Ascorbate and aldarate metabolism - Mus musculus (house mouse)","1/408","31/9574",0.032258064516129,0.756957621758381,-0.285946362168588,0.741334582742827,0.999672447698676,0.861289527757691,"268756",1
"mmu00640","Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism - Mus musculus (house mouse)","1/408","31/9574",0.032258064516129,0.756957621758381,-0.285946362168588,0.741334582742827,0.999672447698676,0.861289527757691,"380660",1
"mmu04211","Organismal Systems","Aging","mmu04211","Longevity regulating pathway - Mus musculus (house mouse)","3/408","90/9574",0.0333333333333333,0.78218954248366,-0.437994234640106,0.744463676525105,0.999672447698676,0.861289527757691,"23797/432530/12326",3
"mmu00020","Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle) - Mus musculus (house mouse)","1/408","32/9574",0.03125,0.733302696078431,-0.318814520297557,0.752393525448572,0.999672447698676,0.861289527757691,"239017",1
"mmu00512","Metabolism","Glycan biosynthesis and metabolism","mmu00512","Mucin type O-glycan biosynthesis - Mus musculus (house mouse)","1/408","32/9574",0.03125,0.733302696078431,-0.318814520297557,0.752393525448572,0.999672447698676,0.861289527757691,"71685",1
"mmu00630","Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism - Mus musculus (house mouse)","1/408","32/9574",0.03125,0.733302696078431,-0.318814520297557,0.752393525448572,0.999672447698676,0.861289527757691,"434437",1
"mmu04215","Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species - Mus musculus (house mouse)","1/408","32/9574",0.03125,0.733302696078431,-0.318814520297557,0.752393525448572,0.999672447698676,0.861289527757691,"18053",1
"mmu05225","Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","6/408","175/9574",0.0342857142857143,0.80453781512605,-0.550560605728804,0.762330383107049,0.999672447698676,0.861289527757691,"22420/23797/12578/22417/93897/100042295",6
"mmu04510","Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","7/408","202/9574",0.0346534653465347,0.813167346146379,-0.566208665963668,0.763891252519252,0.999672447698676,0.861289527757691,"329278/23797/54635/20750/665033/16421/94216",7
"mmu00310","Metabolism","Amino acid metabolism","mmu00310","Lysine degradation - Mus musculus (house mouse)","2/408","64/9574",0.03125,0.733302696078431,-0.451629746011796,0.763960041215354,0.999672447698676,0.861289527757691,"209692/30956",2
"mmu01522","Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance - Mus musculus (house mouse)","3/408","93/9574",0.032258064516129,0.756957621758381,-0.49689038350858,0.764230976544518,0.999672447698676,0.861289527757691,"23797/12578/432530",3
"mmu04217","Cellular Processes","Cell growth and death","mmu04217","Necroptosis - Mus musculus (house mouse)","6/408","177/9574",0.0338983050847458,0.795446992356265,-0.579511520245872,0.771724505799742,0.999672447698676,0.861289527757691,"20849/271844/58203/73333/404634/665433",6
"mmu05205","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","7/408","204/9574",0.0343137254901961,0.805195117262591,-0.593347765220773,0.772650071615061,0.999672447698676,0.861289527757691,"22420/13345/23797/22417/20423/93897/16160",7
"mmu00030","Metabolism","Carbohydrate metabolism","mmu00030","Pentose phosphate pathway - Mus musculus (house mouse)","1/408","34/9574",0.0294117647058824,0.690167243367935,-0.381818341387218,0.773116374435003,0.999672447698676,0.861289527757691,"230163",1
"mmu01040","Metabolism","Lipid metabolism","mmu01040","Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse)","1/408","34/9574",0.0294117647058824,0.690167243367935,-0.381818341387218,0.773116374435003,0.999672447698676,0.861289527757691,"66775",1
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","1/408","34/9574",0.0294117647058824,0.690167243367935,-0.381818341387218,0.773116374435003,0.999672447698676,0.861289527757691,"213311",1
